1300000 	1300010 	1300011 	1300045 	1300046 	1300047 	1300048 	1300049 	1300100
1300101 	1300102 	1300103 	1300104 	1300105 	1300106 	1300107 	1300108 	1300109
1300110 	1300111 	1300112 	1300113 	1300114 	1300115 	1300116 	1300117 	1300118
1300119 	1300120 	1300121 	1300122 	1300123 	1300124 	1300125 	1300126 	1300127
1300128 	1300129 	1300190 	1300191 	1300192 	1300193 	1300194 	1300195 	1300196
1300197 	1300198 	1300199 	1301006 	1301007 	1301008 	1301009 	1301010 	1301011
1301012 	1301019 	1301100 	1301101 	1301102 	1301103 	1301104 	1301105 	1301106
1301107 	1301108 	1301109 	1301110 	1301111 	1301112 	1301113 	1301114 	1301115
1301116 	1301117 	1301118 	1301119 	1301120 	1301121 	1301122 	1301123 	1301124
1301125 	1301126 	1301127 	1301128 	1301129 	1301180 	1301181 	1301182 	1301183
1301184 	1301185 	1301186 	1301187 	1301188 	1301189 	1302000 	1302001 	1302002
1302003 	1302004 	1302005 	1302006 	1302007 	1302008 	1302009 	1302100 	1302101
1302102 	1302103 	1302104 	1302105 	1302106 	1302107 	1302108 	1302109 	1302110
1302111 	1302112 	1302113 	1302114 	1302115 	1302116 	1302117 	1302118 	1302119
1302120 	1302121 	1302122 	1302123 	1302124 	1302125 	1302126 	1302127 	1302128
1302129 	1302190 	1302191 	1302192 	1302193 	1302194 	1302195 	1302196 	1302197
1302198 	1302199 	1303100 	1303101 	1303102 	1303103 	1303104 	1303105 	1303106
1303107 	1303108 	1303109 	1303110 	1303111 	1303112 	1303113 	1303114 	1303115
1303116 	1303117 	1303118 	1303119 	1304100 	1304101 	1304102 	1304103 	1304104
1304105 	1304106 	1304107 	1304108 	1304109 	1304110 	1304111 	1304112 	1304113
1304114 	1304115 	1304116 	1304117 	1304118 	1304119 	1304120 	1304121 	1304122
1304123 	1304124 	1304125 	1304126 	1304127 	1304128 	1304129 	1305100 	1305101
1305102 	1305103 	1305104 	1305105 	1305106 	1305107 	1305108 	1305109 	1305110
1305111 	1305112 	1305113 	1305114 	1305115 	1305116 	1305117 	1305118 	1305119
1305120 	1305121 	1305122 	1305123 	1305124 	1305125 	1305126 	1305127 	1305128
1305129 	1305130 	1305131 	1305132 	1305133 	1305134 	1305135 	1305136 	1305137
1305138 	1305139 	1305140 	1305141 	1305142 	1305143 	1305144 	1305145 	1305146
1305147 	1305148 	1305149 	1305150 	1305151 	1305152 	1305153 	1305154 	1305155
1305156 	1305157 	1305158 	1305159 	1305160 	1305161 	1305162 	1305163 	1305164
1305165 	1305166 	1305167 	1305168 	1305169 	1305170 	1305171 	1305172 	1305173
1305174 	1305175 	1305176 	1305177 	1305178 	1305179 	1305180 	1305181 	1305182
1305183 	1305184 	1305185 	1305186 	1305187 	1305188 	1305189 	1305190 	1305191
1305192 	1305193 	1305194 	1305195 	1305196 	1305197 	1305198 	1305199 	1307010
1307011 	1307012 	1307013 	1307014 	1307015 	1307016 	1307017 	1307018 	1307019
1307110 	1307111 	1307112 	1307113 	1307114 	1307115 	1307116 	1307117 	1307118
1307119 	1309042
1312000 	1312001 	1312002 	1312003 	1312004 	1312005 	1312006 	1312007 	1312008
1312009 	1312010 	1312011 	1312012 	1312013 	1312014 	1312015 	1312016 	1312017
1312018 	1312019 	1312020 	1312021 	1312022 	1312023 	1312024 	1312025 	1312026
1312027 	1312028 	1312029 	1312030 	1312031 	1312032 	1312033 	1312034 	1312035
1312036 	1312037 	1312038 	1312039 	1312040 	1312041 	1312042 	1312043 	1312044
1312045 	1312046 	1312047 	1312048 	1312049 	1312100 	1312101 	1312102 	1312103
1312104 	1312105 	1312106 	1312107 	1312108 	1312109 	1312110 	1312111 	1312112
1312113 	1312114 	1312115 	1312116 	1312117 	1312118 	1312119 	1312120 	1312121
1312122 	1312123 	1312124 	1312125 	1312126 	1312127 	1312128 	1312129 	1312130
1312131 	1312132 	1312133 	1312134 	1312135 	1312136 	1312137 	1312138 	1312139
1312140 	1312141 	1312142 	1312143 	1312145 	1312146 	1312147 	1312148 	1312149
1312150 	1312151 	1312152 	1312153 	1312154 	1312155 	1312156 	1312157 	1312158
1312159 	1312160 	1312161 	1312162 	1312163 	1312164 	1312165 	1312166 	1312167
1312168 	1312169 	1312170 	1312171 	1312172 	1312173 	1312175 	1312176 	1312177
1312178 	1312179 	1312180 	1312181 	1312182 	1312183 	1312184 	1312185 	1312186
1312187 	1312188 	1312189 	1312190 	1312191 	1312192 	1312193 	1312194 	1312195
1312196 	1312197 	1312198 	1312199 	1312470 	1312471 	1312472 	1312473 	1312474
1312475 	1312476 	1312477 	1312478 	1312479 	1312650 	1312651 	1312652 	1312653
1312655 	1312656 	1312657 	1312658 	1312659 	1312660 	1312661 	1312662 	1312663
1312664 	1312665 	1312666 	1312667 	1312668 	1312669 	1312670 	1312671 	1312672
1312673 	1312675 	1312676 	1312677 	1312678 	1312679 	1312680 	1312681 	1312682
1312683 	1312685 	1312686 	1312687 	1312688 	1312689 	1312690 	1312691 	1312692
1312693 	1312695 	1312696 	1312697 	1312698 	1312699 	1314100 	1314101 	1314102
1314103 	1314104 	1314105 	1314106 	1314107 	1314108 	1314109 	1314110 	1314111
1314112 	1314113 	1314114 	1314115 	1314116 	1314117 	1314118 	1314119 	1314120
1314121 	1314122 	1314123 	1314124 	1314125 	1314126 	1314127 	1314128 	1314129
1314130 	1314131 	1314132 	1314133 	1314134 	1314135 	1314136 	1314137 	1314138
1314139 	1314140 	1314141 	1314142 	1314143 	1314144 	1314145 	1314146 	1314147
